no,nworkers,free-mem /Gi,free-swap /Gi,exec time /sec,gc time /sec,gc pause avg /ms,gc pause max /ms,free rate /MB/sec
1,16,11.28 ,8.00 ,437.95 ,3.25 ,50.78 ,126.0 ,180.7 
2,16,11.28 ,8.00 ,435.93 ,3.23 ,50.50 ,122.0 ,181.8 
3,16,11.28 ,8.00 ,442.95 ,3.20 ,50.07 ,123.0 ,183.1 
4,12,11.73 ,8.00 ,418.12 ,2.99 ,46.02 ,118.0 ,195.9 
5,12,11.75 ,8.00 ,449.31 ,3.05 ,46.89 ,115.0 ,192.1 
6,8,12.32 ,8.00 ,393.47 ,2.63 ,41.17 ,104.0 ,221.2 
7,8,12.32 ,8.00 ,399.38 ,2.67 ,41.71 ,104.0 ,218.4 
8,4,12.96 ,8.00 ,515.65 ,1.83 ,28.12 ,57.0 ,318.3 
9,2,13.25 ,8.00 ,861.45 ,1.72 ,26.44 ,57.0 ,337.9 
